reading	hanri	priority	corrected	english
끤4	銀	1		silver; money
끼5	義	1		meaning; righteousness
끼란4	宜蘭	1		Yilan
끼순5	義順	1		Yishun
냐4	娘	1		mother; woman
뉴4	娘	1		mother; woman
뉴5	讓	2		let; allow; yield
뉴뉴4	娘娘	1		goddess; empress
능2	軟	3		soft
능5	兩	1		two; both
능5	卵	2		egg
능랑4	兩人	1		two people
능밯1커1	兩百箍	1		two hundred dollars
능빤커1	兩萬箍	1		twenty thousand dollars
능에4	兩个	1		two; two items
능잡1*	二十	1	띠잡1	twenty
능잡커1*	二十箍	1	띠잡커1	twenty dollars
능쳰5커1*	兩千箍	1	능촁5커1	two thousand dollars
능촁5커1	兩千箍	1		two thousand dollars
니1	奶	1		milk; breast
니4	年	1		year
ᄂᆤ1	貓	1		cat
ᄂᆤ1츼2	鳥鼠	1		rat; mouse
다1	焦	1		burnt; scorched
다5컥1컥	焦컥ˆ컥	1		burnt; scorched
닥게1	逐家	1		everyone
단1태5	等待	1		wait
단2	等	1		wait; class; rank
단4	陳	2		Chen; display; old
달2	膽	1		gallbladder; courage
담1한4	膽寒	1		fearful; chilled with fear
담5	淡	1		light; bland; weak
담쥐1호4	淡水河	1		Tamsui River
담쥐2	淡水	1		Tamsui
당	當	2		when; be; serve as
당1	東	1		east
당1	當	3		when; be; serve as
당1	冬	4		winter
당5	重	1		heavy; again
당5걀1	東京	1		Tokyo
당5람4	東南	1		southeast
당5람새5박	東南西北	1		all directions
당5람아1	東南亞	1		Southeast Asia
당5새5람박	東西南北	1		all directions
당5아1	東亞	1		East Asia
당왈1	同安	1		Tong-an
닿1	踏	1		step on; tread
대뎡1	台中	1		Taichung
대람4	台南	1		Tainan
대박	台北	1		Taipei
대박1챠5잠5	台北車站	1		Taipei Main Station
대박1챠5ᄐᅷ4	台北車頭	1		Taipei station
대박1치5	台北市	1		Taipei City
대박1치졩2후2	台北市政府	1		Taipei City Government
대완4	台灣	1		Taiwan
대완랑4	台灣人	1		Taiwanese person
대완웨5	台灣話	1		Taiwanese language
댤5	定	1		fixed; certain; decide
댤댤5	定定	1		often; regularly
댬1졩1	點鐘	1		o clock
댬2	點	1		point; dot; a little
더1	都	1		all; city
더5	都	1		all; city
더치5	都市	1		city; urban area
덤4	丼	1		donburi
덩	當	2		when; be; serve as
덩1	當	1		when; be; serve as
덩1	東	3		east
덩1완4	黨員	1		party member
덩2솬2	當選	1		be elected
덩5뗸4	當然	1		of course; naturally
덩5처1	當初	1		at first; originally
데1데2	短短	1		short; briefly
데2	短	2		short
데4	茶	1		tea
데5	地	3		earth; place; ground
데5	第	1		ordinal prefix
데띠5	第二	1		second
데살1	第三	1		third
데읻	第一	1		first
데읻1뎽2	第一等	1		first-class
뎔톼	長泰	1		Changtai
뎡1	中	1		middle; in; among
뎡5걱	中國	1		China
뎡5걱1랑4	中國人	1		Chinese person
뎡5산1	中山	1		Zhongshan; Sun Yat-sen
뎡5옿1	中學	1		secondary school; middle school
뎡5화4	中華	1		Chinese; China
뎡신1	重新	1		again; anew
뎡ᄋᆤ	重要	1		important
뎬5	電	1		electricity
뎬ᄂᅷ2	電腦	1		computer
뎬시5	電視	1		television
뎬시기1	電視機	1		television set
뎬얄2	電影	1		film; movie
뎬웨5	電話	1		telephone
뎬훼2	電火	1		electric light
뎽1	燈	1		lamp; light
뎽2	等	3		wait; class; rank
뎽2	頂	2		top
뎽5긍1	燈光	1		lamplight; lighting
도1	刀	1		knife
도1위5	도ˆ위ˉ	1		
도리2	道理	1		reason; principle
돟	桌	1		table; desk
돠5	大	1		big; large
돠랑4	大人	1		adult
돠바5요4	大巴窯	1		Toa Payoh
돠샬1	大聲	1		loud
돠쇠2샬1	大細聲	1		loud and soft; volume
돠옿1	大學	1		university
돨1	單	1		single; alone
되5	地	1		earth; place; ground
됴솰2웨5	潮汕話	1		Chaoshan language
됴쥬1	潮州	1		Teochew; Chaozhou
됴쥬5웨5	潮州話	1		Teochew language
둏1	著	1		hit; correct; wear
뒈	綴	1		follow; attach
뒈2랑ᄌᅷ2	綴人走	1		elope; blindly follow another's opinion
뒤	對	1		correct; toward; pair
듀ᄎᅷ1랑4	稻草人	1		scarecrow
듀ᄎᅷ2	稻草	1		straw
듈톼	長泰	1		Changtai
등	當	2		when; be; serve as
등1	當	1		when; be; serve as
등1추	轉厝	1		go home; return home
등2	轉	1		turn; transfer; return
등2’래	轉’래	1		turn; transfer; return
등2’킈	轉’킈	1		turn; transfer; return
