reading	hanri	priority	corrected	english
쟣바2’ᄅᆤ2	食飽’ᄅᆤˋ	1		eat until full; satiated
쟣바2’쀄	食飽’쀄	1		are (you) full? (used as a greeting)
쟣븡5	食飯	1		eat; have a meal
쟣새2	食屎	1		eat shit
쟣처	食醋	1		be jealous
저2	祖	1		ancestor
정1덕	總督	1		governor-general
정1텅2	總統	1		president
정2	總	1		total; general; always
제	債	4		debt
제	製	5		make; manufacture
제	際	6		occasion; border
제	祭	7		worship; sacrifice
제1	災	2		disaster
제1	齋	3		vegetarian; fast
제5	坐	1		sit
젹1헉	祝福	1		blessing; bless
졍1	章	1		chapter; seal
졍2	種	2		kind; type; seed
졍5화	彰化	1		Changhua
졍5홛	章法	1		organisation; procedure; rules
졕	叔	1		uncle
졘1	煎	1		fry
졩1	鐘	2		clock; bell
졩2후2	政府	1		government
졩4	情	1		feeling; affection
졩4	曾	3		once; Zeng
졩곙1	曾經	1		once; formerly
좌1띠5	紙字	1		banknote; hell money; written characters
좌2	紙	1		paper
좌4	蛇	1		snake
좐쟝1	泉漳	1		Quanzhou and Zhangzhou; Quanzhang
좐쟝5웨5	泉漳話	1		Quanzhou-Zhangzhou speech; Hokkien
좐쥬1	泉州	1		Quanzhou
죄	做	2		do; make
죄2딘5	做陣	1		together
죄2빵5	做夢	1		dream
죄4	齊	3		together; neat
죠5허1	招呼	1		greet
죠	照	1		according to; shine
죻새1	石獅	1		Shishi
주	注	3		note; pour
주1	珠	6		pearl
주1	書	5		book
주1ᄋᆤ	主要	1		main; principal
주2	煮	1		cook; boil
주2	子	2		child; son
주2	主	4		main; master
주2댤5	註定	1		destined
주경호5	自強號	1		Tze-Chiang Express
주재5	自在	1		free; at ease
준	俊	3		handsome; talented
준4	船	2		boat; ship
준5	陣	1		period; formation
준준5	陣陣	1		waves of; bursts of
줴	最	2		most
줴5	罪	5		sin; crime
쥐	醉	2		drunk
쥐2	水	1		water
쥐2빵빵4	醉茫茫	1		very drunk
쥬1령5	酒量	1		drinking capacity
쥬2	酒	1		alcohol; wine
쥬5후2	州府	1		state capital; prefectural seat
쥴5퍼2	漳浦	1		Zhangpu
지	志	1		will; ambition
지1뭬5	姊妹	1		sisters
지1뻬5	姊妹	1		sisters
지2	姊	1		older sister
진	震	2		shake; Zhen
진1	真	1		true; really
진2강1	晉江	1		Jinjiang
진2덩1	震東	1		Zhen Dong
짇1	一	1		one
짇강1	一工	1		one day
짇과2	一寡	1		a little; a few
짇기1	一支	1		one stick; one item
짇기1	一枝	2		one branch
짇댬2	一點	1		a little; one point
짇딯	一滴	1		one drop
짇ᄃᆤ4	一條	1		one strip; one long item
짇띧1	一日	1		one day
짇밯1커1	一百箍	1		one hundred dollars
짇붸1	一杯	1		one cup
짇빤커1	一萬箍	1		ten thousand dollars
짇시4	一時	1		for a moment; at one time
짇에4	一个	1		one; one item
짇졍2	一種	1		one kind
짇쳰5커1*	一千箍	1	짇촁5커1	one thousand dollars
짇촁5커1	一千箍	1		one thousand dollars
질4	錢	1		money
짖1에4	짖ˆ个	1		this
짛1	舌	1		tongue
ᄌᅷ1킈	走去	1		go
ᄌᅷ2	走	1		run; go
ᄌᆤ	照	1		according to
ᄌᆤ2	鳥	2		bird
ᄌᆤ2거	照顧	1		look after; care for
ᄌᆤ2겅2	照講	1		ordinarily; as a rule
ᄌᆤ2키1강1	照起工	1		as usual; according to work
차1궤1ᄃᆤ4	炒粿條	1		fried kway teow
차1븡5	炒飯	1		fried rice
차1삐1훈2	炒米粉	1		fried bee hoon
차2	炒	2		fry
차2	吵	1		noisy; argue
차5슈1	叉燒	1		char siew
찹	插	1		insert
채	菜	1		vegetable; dish
채2치5	菜市	1		market; bazaar; Chai Chee
채2ᄐᅷ궤2	菜頭粿	1		fried carrot cake
챠1	車	1		car; vehicle
챠5잠5	車站	1		station
챠5ᄐᅷ4	車頭	1		station
챨2	請	1		please; invite
챻1챻	챻ˆ챻	1		cha-cha
처	醋	2		vinegar; jealousy
처1	粗	1		coarse; rough
처1	初	3		beginning; first
처5러2	粗魯	1		rude; coarse
체1	叉	1		fork; cross
첼1	青	1		green
쳏	冊	1		book
쳥1	沖	2		rush; rinse
쳥1	衝	1		rush; collide
쳰1	千	1		thousand
쳰5커1*	千箍	1	촁5커1	thousand; dollar; ring
촁1	千	1		thousand
촁1	清	1		clear; pure
촁5	穿	1		wear; pierce
촁5초2	清楚	1		to be clear
촁5춘1	青春	1		youth
촁5칠2	清醒	1		awake; sober; clear-headed
촁5커1	千箍	1		thousand; dollar; ring
촁5화4	清華	1		Tsinghua
촁살1	穿衫	1		wear clothes
초	錯	1		wrong; mistake
촤2추2강2	蔡厝港	1		Choa Chu Kang
촨2	喘	1		pant; gasp
최1	初	1		prefix for days 1 to 10 of a Chinese calendar month
최5읻	初一	1		day 1 of a Chinese calendar month
최5읻1잡꺼5	初一十五	1		days 1 and 15 of a Chinese calendar month
쵸	笑	1		laugh; smile
쵸2영4	笑容	1		smile
추	厝	1		house
춛	出	1		go out; produce
춛1ᄏᅷ2	出口	1		mouth
취	喙	1		mouth; beak
취2짛1	喙舌	1		tongue
츄2	手	1		hand
츌	唱	1		sing
츌2과1	唱歌	1		sing song
츼2	鼠	1		rat; mouse
치5	市	1		city
치뎔2	市長	2		city mayor
치듈2	市長	1		city mayor
친1	親	1		relative; close
친2채2	친ˋ채ˋ	1		anyhow
친5애	親愛	1		beloved; dear
친5츌5	親像	1		like; resemble
칟	七	1		seven
칟1밯	七百	1		seven hundred
칟1잡1	七十	1		seventy
칟1토4	칟ˆ토ˊ	1		to play; to have a good time
칟1훈1	七分	1		seven parts; seventy percent
칠1	青	1		green
칠2’래	醒’래	1		wake up
침1	深	1		deep
ᄎᅷ2	草	1		grass
ᄎᅷ2힐랑4	臭耳聾	1		deaf
ᄎᆤ4	撨	1		adjust; arrange
카1	跤	1		foot
카2믕4	敲門	1		to knock on a door
카5닿싣데5	跤踏實地	1		to be realistic and reliable
카5닿챠1	跤踏車	1		bicycle
카5층1	尻川	1		buttocks
카5ᄐᅷ우1	跤頭趺	1		knee
카5ᄐᅷ후1	跤頭趺	1		knee
캬5	騎	1		ride
캬5	徛	1		stand
커1	箍	1		dollar
커2	苦	1		bitter; suffering
코	靠	1		lean on; rely on
코1롄4	可憐	1		pitiful; pitiable
코1비2	可比	1		compare
코1숗	可惜	1		regrettable; a pity
코1애	可愛	1		cute; adorable
코2	可	1		can; may
콴2	款	1		type; style
콸	看	1		look; watch
쾌	快	1		fast; happy
쾌2럭1	快樂	1		happy
쿠1	軀	1		body
쿠1	區	1		area; district
쿤’킈	睏’킈	1		fall asleep
퀴	氣	2		air; energy
퀼2왛1	快活	1		happy; carefree
킈	去	1		go
키	氣	1		air; energy
키1ᄉᆤ2	起痟	1		to be crazy
키2	起	1		rise; start; build
킨1	輕	1		light
킨5샬1	輕聲	1		soft; low in volume
킨5코2	輕可	1		relaxed; gentle
킨5킨1	輕輕	1		light; easy
ᄏᅷ	哭	1		cry
ᄏᅷ2	口	1		mouth
ᄏᅷ2베5	哭爸	1		complain; whine
ᄏᅷ2베ᄏᅷ2뿌2	哭爸哭母	1		whine; complain
탁1	讀	1		read; study
탁주1	讀書	1		read book; study
탁쳏	讀冊	1		read book; study
탕1	通	1		pass through; understand
탕4	蟲	1		insect; worm
태2걱	泰國	1		Thailand
태2걱1랑4	泰國人	1		Thai person
턀1	聽	1		listen; hear
터	兔	1		rabbit
터	吐	2		spit; vomit
텅1	通	1		pass through; understand
테1꺔5	體驗	1		experience; learn through experience
테1령5	體諒	1		empathise; be understanding
테2	體	1		body; form
토흥4	桃園	1		Taoyuan
툐1	挑	1		pick; carry
툰1	吞	1		swallow
틍1	湯	1		soup; hot water
틍4	糖	1		sugar
틍5시4	湯匙	1		spoon; soup spoon
틍감5삗딜1	糖甘蜜甜	1		sweet as sugar and honey
틸1	天	1		sky; day
틸5긍1	天光	1		daybreak; dawn
틸5셱	天色	1		sky; weather; colour
틸5키	天氣	1		weather
팋	鐵	1		iron
ᄐᅷ	透	2		through; thoroughly
ᄐᅷ1	偷	3		steal; secretly
ᄐᅷ4	頭	1		head
ᄐᅷ믕4	頭毛	1		hair
ᄐᅷ졩4	頭前	1		in front; ahead
ᄐᆤ	跳	1		jump
ᄐᆤ’롷킈	跳’롷킈	1		jump down
ᄐᆤ5강1	挑工	1		work
팧	拍	1		hit; beat
팧1뱔	拍拚	1		strive; work hard
팧1승	拍算	1		plan; calculate
팰1걀2	歹囝	1		bad child
팰1운5	歹運	1		bad luck
팰1콸	歹看	1		ugly; unpleasant to look at
팰2	歹	1		bad
퍼1텅1	普通	1		ordinary; common
퍼2	普	1		general; common
폑1산1	碧山	1		Bishan
폔	騙	1		deceive
폔2주2	騙子	1		liar; swindler
포1	波	1		wave
포5렁5	波浪	1		waves
표	票	1		ticket
풰1	批	1		batch; criticize; letter
풰4	皮	1		skin; leather
풰후1	皮膚	1		skin
핀2	品	1		goods; quality
필5	鼻	1		nose
필새2	鼻屎	1		booger
필캉1	鼻空	1		nostril
ᄑᅷ	泡	1		soak; bubble
ᄑᅷ2미5	泡麵	1		instant noodles
ᄑᅷ2데4	泡茶	1		make tea
학솅1	學生	1		student
한걱	韓國	1		South Korea
한걱1랑4	韓國人	1		South Korean
해1셩5	海上	1		sea
해1옝2	海湧	1		sea wave
해1해2	海海	1		nothing out of the ordinary
해1활5	海岸	1		sea coast
해2	海	1		sea
햘1	兄	1		elder brother
햘5디5	兄弟	1		elder brother; younger brother
햘5디지1뭬5	兄弟姊妹	1		siblings
햘5디지1뻬5	兄弟姊妹	1		siblings
햠1	薟	1		spicy
햠4	嫌	1		dislike; suspect
햠5죠1	薟椒	1		chilli
향1키2	響起	1		start (of a sound or music)
향2	響	1		sound; echo
허2	虎	3		tiger
허5	雨	2		rain
허5	護	1		protect
허솰	雨傘	1		umbrella
허죠	護照	1		passport
헉1곈	福建	1		Fujian
헉1곈2랑4	福建人	1		Hokkien person; Fujian person
헉1곈2미5	福建麵	1		Hokkien mee
헉1곈2웨5	福建話	1		Hokkien speech
헝1	風	1		wind
헝5허5	風雨	1		wind and rain
헝5헝5우1우2	風風雨雨	1		hardships; difficult times
헝데	皇帝	1		emperor
형5강2	香港	1		Hong Kong
혠	獻	1		offer; present
혱1	興	1		interest; prosper
혱4	衡	3		balance; weigh
혱5	幸	2		fortunate; happiness
혱헉	幸福	1		happiness; good fortune
호1걀2	好囝	1		good kid
호1운5	好運	1		good luck
호1쟣1	好食	1		delicious
호1호2	好好	1		good
호2	好	1		good
호4	和	3		harmony
호4	河	4		river
호5	號	2		number; call
화4	華	1		splendid; Chinese
화꾸2	華語	1		Mandarin Chinese
환4	繁	2		complex; flourishing
환4	煩	1		annoyed; troublesome
환4	環	1		ring; surrounding
환5꼥4	歡迎	1		welcome
환곙2	環境	1		environment
환로2	煩惱	1		worry; trouble
환화4	繁華	1		bustling; prosperous
홛	法	1		law; method
홛1보2	法寶	1		treasured method; magic weapon
활1	歡	1		happy; glad
활5	捍	2		defend; guard
활5히2	歡喜	1		happy; like
활챠1	捍車	1		vehicle
홸딛1	橫直	1		anyway; in any case
후마2	駙馬	1		imperial son-in-law
훈	奮	8		exert; vigorous
훈1	薰	2		fragrant; smoke
훈1	分	1		divide; minute; cent
훈1궤2	粉粿	1		sweet potato jelly cake
훈2	粉	4		flour; powder
훈2ᄃᅷ	奮鬥	1		struggle; strive
훈4	魂	3		soul
훈4	痕	5		mark; scar
훈4	雲	7		cloud
훈5	昏	6		dusk; dim
훈림4	雲林	1		Yunlin
훼	歲	3		year; age
훼1	花	1		flower
훼1챠1	火車	1		train
훼2	火	2		fire
훼4	回	4		return
훼5흥4	花園	1		garden
훼ᄐᅷ4	回頭	1		turn back; look back
휘5기1	飛機	1		aeroplane
휘왈1	惠安	1		Hui'an
히2	喜	1		joy; like
히5빵5	希望	1		hope; wish
힏1에4	힏ˆ个	1		that
힐5	耳	1		ear
힐캉1	耳空	1		ear
ᄒᅷ셀1	後生	1		son
ᄒᅷ실1	後生	1		son
ᄒᆤ2	曉	1		understand
ᄒᆤ5배1	囂俳	1		arrogant
ᅙᅦ5	硬	1		hard
ᅙᅵ5	硬	1		hard
어5셱1	烏色	1		black
ᄃᆤ걀5	條件	1		condition; requirement
관2	管	1		pipe; manage
볜2과	變卦	1		change
옌훈5	緣份	1		fate; connection
좐4	全	1		whole; all
콸2퐈	看破	1		see through; accept the inevitable
히5솅1	犧牲	1		sacrifice; livestock
턀	疼	1		pain; to love
상	送	1		send; give
완4	完	1		complete; finish
완2훈5	怨恨	1		resentment; hatred
뽠2	滿	1		full
산5뼹해1세	山盟海誓	1		solemn vows of love
짇듈4	一場	1		one; field; place
딛1	得	1		obtain; can
꽌5	願	1		wish; willing
어5암	烏暗	1		dark
김5김1	金金	1		wide-eyed; staring
훈5	恨	1		hate; regret
괃1뎽5	決定	1		decide; decision
등4	長	1		long; grow
짇버5	一步	1		one step
허쥐2	雨水	1		rainwater
악1담4	沃澹	1		wet
살5커	衫褲	1		clothes
지2	只	1		only; just
곙2가1	更加	1		more; even more
곈5경4	堅強	1		strong
붸효5	背後	1		behind; in secret
커1처2	苦楚	1		suffering; misery; sorrow
곈5뎽5	堅定	1		firm; resolute; determined
퐐5	伴	1		companion; accompany
형2졘걀4	向前行	1		to strive; to move forward
먀4	名	1		name; reputation
춛1시	出世	1		to be born
호1먀5	好命	1		good life
싣1배	失敗	1		fail
빤빤5	慢慢	1		slow
운먀5	運命	1		fate; destiny
지1ᄋᆤ	只要	1		as long as
영심1	用心	2		to be mindful
셓1	踅	1		circle; wander; walk to and fro
하코	下課	1		after class
뮈1강1	每工	1		every day
심5래5	心內	1		in one's heart
챠5롄2	車輦	1		wheels
카5닿1	跤踏	1		tread; step
갸	寄	1		send; deliver
츄뎽2	樹頂	1		treetop
ᄌᆤ1아2	鳥仔	1		little bird
붇1시4	不時	1		from time to time
ᄐᅷ5턀1	偷聽	1		eavesdrop
담4	談	1		talk; discuss
롼애	戀愛	1		to be in love
역1훼5	約會	1		date; meeting
심5쟐4	心情	2		mood; feeling
킁	囥	1		hide; store away
순졩4	純情	1		pure feelings
활5활5히1히2	歡歡喜喜	1		happily; cheerfully
기태5	期待	1		anticipate
딜5삗1	甜蜜	1		sweet
주5삐5	滋味	1		flavour
참1	摻	1		mix
재5	在	1		exist; at
아2	仔	1		diminutive suffix
어5어1	烏烏	1		black
꺟1	攑	1		lift; grab
듸ᄐᅷ4	鋤頭	1		hoe
굳1	掘	1		dig
어5	芋	1		taro
짇쀄2	一尾	1		classifier for fish
솬5류5거2	旋鰡鼓	1		Pond loach
진5쟐	真正	1		really
추2삐5	趣味	1		interesting; fun
쟐2	䭕	1		bland
쇼5팧	相拍	1		fight
렁2퐈	挵破	1		to break
댤2	鼎	1		pot; cauldron
렁	挵	1		hit; knock
쟘쟘5	漸漸	1		gradually
키1걀4	起行	1		to go; to begin a journey
재2훼5	再會	1		meet again
거2형1	故鄉	1		hometown
친5쟐4	親情	1		family affection
베뿌2	爸母	1		parents; father and mother
고2시4	告辭	1		bid farewell
래킈	來去	1		to go
턀5랑겅2	聽人講	1		hearsay
삔빵5	眠夢	1		dream
뚜호4	如何	1		how is it
짇잠5	一站	1		a station
헝5곙2	風景	1		view
짇뻐5	一幕	1		a scene
덩5죄	當做	1		treat as; regard as
람주1각	男主角	1		male lead
봘1	搬	1		move; carry
훈유수2해2	雲遊四海	1		sail the seven seas
유2디5	幼稚	1		young; childish
럭관1	樂觀	1		optimistic
효고2	後果	1		consequence
달1	擔	1		carry
꽌령5	原諒	1		forgive
붇1ᄒᅷ	不孝	1		unfilial
탄	趁	1		to earn
괄1긴2	趕緊	1		hurriedly
롷챠1	落車	1		to alight
루1켛	旅客	1		traveller; passenger; hotel guest
혠대	現代	1		modern times; modern
짇덩	一棟	1		classifier for buildings
츌5	像	1		resemble
뀋뉴4	月娘	1		moon
귀5미4	規暝	1		the whole night
쿤	睏	1		sleep
롄4	連	1		connect; even
훃1쿤	歇睏	1		to rest
강콴2	仝款	1		same; alike
허셩1	互相	1		mutual
이5와2	依倚	1		rely on; lean on
졩애	情愛	1		love; affection
준재5	存在	1		exist; existence
감5꽌5	甘願	1		be willing to
조2훼2	做伙	1		together
심5뎡1	心中	1		in one's heart
삐1레5	美麗	1		beautiful
서1재5	所在	1		place
서1우5	所有	1		all
읻1체	一切	1		everything
희4	魚	1		fish
싣1뻥5	失望	1		disappointment
띰1내5	忍耐	1		endure
당5시4	當時	1		that time
위읻	唯一	1		the only
돠해2	大海	1		wide sea
헝5옝2	風湧	1		wind and wave
옝2	湧	1		surge; well up
뼹2	猛	1		fierce
킫1쟣1	乞食	1		to beg for food
춛1ᄐᅷ틸1	出頭天	1		one's breakthrough
완2틸1	怨天	1		resent
유띤4	尤人	1		resent
쇼1심1	小心	1		careful
능각	兩角	1		two; both
삼5붇1꺼시4	三不五時	1		from time to time
각	角	1		corner; horn
감1졩4	感情	1		feeling; affection; relationship
주2뎽5	註定	1		destined
호1한	好漢	1		good man
퐈2박	破腹	1		rip open abdomen; to speak from one's heart
살5길	相見	1		see each other
겅5임1	光陰	1		time
규4	求	1		seek; request
뼹리5	名利	1		fame and fortune
ᄅᆤ2	了	1		completed; finished
쳰5김1	千金	1		riches; daughter
란4	難	1		difficult
아5겅5아2	阿公仔	1		granddad
퐈	破	1		break; broken
ᄐᅷ게1	頭家	1		boss
ᄎᅷ2ᄎᅷ	臭臭	1		smelly
ᄎᅷ	臭	1		smelly
돠ᄃᆤ4	大條	1		big; out of hand
춘1	賰	1		left over; surplus
커1	顆	1		grain; classifier
꼔2ᄐᅷ4	癮頭	1		silly head; fool
조	做	1		do; make
신5쉬2	薪水	1		salary
재세	在世	1		alive; living
호빋	何必	1		why bother; why is it necessary
완2먀5	怨命	1		blame one's fate
호1꺟1	好額	1		rich
산2쟣1	散食	1		poor
킨캼5	勤儉	1		diligent; frugal; economical
핀돨5*	貧惰	1	빈돨5	lazy
빈돨5	貧惰	1		lazy
가	到	1		reach; arrive
주1괄1	主官	1		main; master; official
텽	暢	1		smooth; carefree
증1	妝	1		makeup; adorn
쉐1	衰	1		decline; unlucky
ᄅᅷ2ᄑᅷ4	落跑	1		run away
턀5겅2	聽講	1		hearsay
짇샬1	一聲	1		a sound
덕야5	獨夜	1		lonely night
쥬2	守	1		guard; keep
뎽5에5	燈下	1		under the lamp
촁5헝1	清風	1		breeze
뒤2삔5	對面	1		opposite side
췌1	吹	1		blow
길	見	1		see
고1뗸4	果然	1		as expected; sure enough
ᄇᆤ5디	漂緻	1		fine; delicate
삔빻	面肉	1		face flesh
쉬4	誰	1		who
주1데5	子弟	1		child; son
팰1세	歹勢	1		shy; embarrassed
돨4	彈	1		to play (instrument)
비베4	琵琶	1		pipa
렁군1	郎君	1		lord; husband
이2애	意愛	1		love; affection; be fond of
슐뾯	想欲	1		want to
령군1	良君	1		a good husband
앙5새	翁婿	1		husband
호시4	何時	1		when; what time
군1	君	1		lord; ruler; you (honorific)
채2	採	1		pick; gather
등5캐1	當開	1		bloom
덩5캐1	當開	1		bloom
태5	待	1		wait
턀5길	聽見	1		hear
꽈삔5	外面	1		outside
퀴5믕4	開門	1		open the door
콸2매5	看覓	1		look; watch
훋	忽	1		sudden; neglect
꽈ᄏᅷ2	外口	1		outside; exterior
대1	呆	1		dull; foolish
꽏로2	月老	1		matchmaker
베5	爸	1		father
돠	蹛	1		stay; live at
즈1데5	子弟	1		child; son; younger brother
락뀋1	六月	1		June; sixth month
띧즤2	日子	1		day; date
띱볭1	入兵	1		enlist; enter military service
칟1자1뵣1자2	七早八早	1		very early in the morning
볭1	兵	1		soldier
볭5ᄐᅷ4	兵頭	1		soldier; head
슈1	收	1		receive; collect
앙뎽5기	紅登記	1		red; record; remember
뗸ᄋᅷ5	然後	1		then; afterwards
쟣헝1	食風	1		eat; wind
삔층4	眠床	1		bed
팋1두4	鐵櫥	1		metal cabinet
볭5살1	兵衫	1		military uniform
볭5커	兵褲	1		soldier
커	褲	1		pants
게1	加	1		add; increase
짐4	蟳	1		crab
짇쟣	一隻	1		one
쟣	隻	1		single; classifier
홛	發	1		send out; develop
피키	脾氣	1		temperament; temper
ᄅᅷ뎽2	樓頂	1		upstairs
ᄅᅷ카1	樓跤	1		downstairs
왈5	換	1		change; exchange
증2캉2	鑽孔	1		drill; bore; hole
챃1ᄎᅷ2	插草	1		insert
셩데5	上第	1		first-rate; superior
쟣랃1	食力	1		eat
겅5리2	公里	1		kilometre
긍1	扛	1		carry; lift
조2볭1	做兵	1		serve as a soldier
능띧1	兩日	1		two days
살5띧1	三日	1		three days
셜뼇	想欲	1		want to
걈2	減	1		reduce
짇커1	一箍	1		one; dollar; ring
혱얄2	形影	1		silhouette; form and shadow
짇준5	一陣	1		a while; for a moment
춘5헝1	春風	1		spring breeze
ᄃᆤ4	牢	1		firm; prison
ᄅᆤ4	聊	1		chat; rely on
도	倒	1		fall; reverse
귀5에4	規个	1		whole; entire
샤2	寫	1		write
잠5	站	1		station; stand
롷래4	落來	1		come down
ᄀᅷ5대5	交代	1		hand over; explain; instruct
걀5걀1	驚驚	1		scared
슐키2	想起	1		remember; think of
쇼1콰1아2	小可仔	1		a little
췌5	揣	1		look for; guess
귀1	規	1		rule; plan
창	藏	1		hide; store
호1세	好勢	1		well; smoothly; suitable
위1쿧	委屈	1		aggrieved; treated unfairly
헝5뎡1	風中	1		in the wind
붸5롕4	飛龍	1		flying dragon
ᄒᅷ2	吼	1		roar; shout
샬5샬1	聲聲	1		sound; voice
틸5요데당5	天搖地動	1		sky; day; earth; place
돤솯	傳說	1		legend; folklore
퇀솯*	傳說	1	돤솯	legend; folklore
뎽1괠4	頂懸	1		very high; up high
솨	紲	1		continue; connect
뚜2	愈	1		more; recover
퀴1	開	1		open
덩5시4	當時	1		when; should; time
도5졩4	多情	1		sentimental; affectionate
캄	崁	1		cliff; cover; switch off
쳰5산5빤쉬2	千山萬水	1		long journey; countless mountains and rivers
츄1래5	手內	1		in hand; at hand
쳥삐4	薔薇	1		rose; rose bush
삐삐5	微微	1		slight; faint
팡1	芳	1		fragrant
삐5	微	1		slight; subtle
걀닿1	行踏	1		walk around; tread
킨5상1	輕鬆	1		light; easy; loose; relaxed
카5버5	跤步	1		step
댬5	恬	1		quiet; calm
댬댬5	恬恬	1		quietly; silently
춛1샬1	出聲	1		speak; make a sound
왇ᄐᅷ4	斡頭	1		head
궤2킈	過去	1		pass; exceed; go
쇃	煞	1		finish; suddenly
류렁5	流浪	1		wander; roam
졍5댬2	終點	1		point; dot
뫄2	滿	1		full
훼5우2	花雨	1		rain
뻥뿌5	茫霧	1		hazy; confused
래되2	內底	1		inside
신4	神	1		deity; spirit
촁5니4	千年	1		thousand years
류좐2	流轉	1		circulate; drift
주적1도5졩4	自作多情	1		flatter oneself; imagine one's feelings are reciprocated
주5	自	1		self; from
깐1졩4	眼前	1		before one's eyes; in front
데꼑1	地獄	1		hell; underworld
곙2	揀	1		choose
톈5셩5	天上	1		in the sky; heaven
데하5	地下	1		underground; on the ground
띤간1	人間	1		human world
수2헝1	四方	1		four
ᄋᆤ5꼗1	妖孽	1		demon; evil-doer; unusual
테2하5	退下	1		withdraw; stand down
졍2솅1	眾生	1		all living beings; the masses
슈줴5	受罪	1		suffer; endure hardship
심5겅4	心狂	1		mind losing
훼1돟1	火著	1		on fire
심5겅훼1돟1	心狂火著	1		to lose temper and feel rage
뼹재1	明知	1		know clearly
쳰5초2빤초	千錯萬錯	1		entirely wrong; full of mistakes
관1	關	1		close
춛1게	出嫁	1		marry out
ᄉᆤ2롄게1	少年家	1		young person
뫄1이	滿意	1		satisfied
봫ᄀᆤ2	跋筊	1		divine by moon blocks
푸4	浮	1		float
심1밓1	什物	1		what; thing
샬1밓1	啥物	1		what; something
위심1밓1	為什物	1		why; for what reason
위샬1밓1	為啥物	1		why
디시4	底時	1		when
도1위5	底位	1		where
도1롷1	底落	1		where
샬1랑4	啥人	1		who
샹4	샹ˊ	1		
디랑4	底人	1		who
댱4	댱ˊ	1		
안1좔2	按怎	1		how; why
안1좔1율5	按怎樣	1		how
되2	底	1		where; which
데1커	底褲	1		underwear
래살1	內衫	1		undershirt
지2키	志氣	1		ambition; willpower
ᄉᆤ5싣	消失	1		disappear; vanish
닥1딜4	觸纏	1		troublesome; difficult to handle; pester
샬2	啥	1		what
시2괴	四界	1		four
탐2턀1	探聽	1		inquire; pry; snoop
ᄉᆤ5싣	消息	1		news; information; message
박1	縛	1		bind; tie
시1시2	死死	1		firmly; tightly
청2디5	創治	1		bully; tease; take advantage of
재	再	1		again
졛1뽜4	折磨	1		torment; torture
잡니4	十年	1		ten years
붇1디5붇1각	不知不覺	1		unconsciously; without realising
탕1	窗	1		window
탕5꽈5	窗外	1		outside
꽈5	外	1		outside
람띤4	男人	1		man; male
뤼5	淚	1		tears
삔뒤	面對	1		face; confront
혠싣1	現實	1		reality; realistic; pragmatic
빵뎡1	夢中	1		in a dream
내곙2기	荔鏡記	1		record; remember
대지	代誌	1		matter; affair
ᄐᅷ러5	頭路	1		job; work
당옿1	同學	1		learn; study
옿등4	學堂	1		school
홛1더5	法度	1		method; way; law
기5훼5	機會	1		opportunity; chance
샤훼5	社會	1		society; community
졩2디5	政治	1		politics
곙5제	經濟	1		economy; economics; economical
뿐화	文化	1		writing; literature
랑켛	人客	1		guest; customer
뎡5ᄃᅷ	中晝	1		noon; lunch
삔아1재	明仔載	1		tomorrow
먀4재*	明仔載	1	삔아1재	tomorrow
촁5키	清氣	1		fresh; clear
셴5실1	先生	1		teacher; Mr.; husband
팡4	捧	1		hold up; praise
커1샵	苦澀	1		bitter; astringent
도2	底	1		where; which
지1붇1고	只不過	1		merely; only; just
쥬1셴1	酒仙	1		lover of alcohol; heavy drinker
뻐율5	模樣	1		appearance; looks; approximately
살2	啥	1		what
유5꽌4	猶原	1		still; as before
ᄋᅷ뱧	後壁	1		back; rear
나ᄋᅷ4	嚨喉	1		throat
소1시4	鎖匙	1		key; lock
뿐되4	問題	1		question; problem; issue
ᄅᅷ수1	老師	1		old
빵러5	網路	1		network; internet
빵잠5	網站	1		website
빵5	網	1		net; web
삔쳏	面冊	1		Facebook
켛	客	1		guest; customer
궤1즤2	果子	1		fruit
뭬4	糜	1		porridge
헝5태1	風颱	1		typhoon
취2둔4	喙脣	1		lips
암군2	頷頸	1		neck
자5흥1	昨昏	1		yesterday evening
수5갛	舒佮	1		comfortable; stretch; and; with
갛1이	佮意	1		like; be fond of
거1쥐1	古錐	1		cute; adorable
거1자2	古早	1		early; morning
구자2	舊早	1		early; morning
구니4	舊年	1		year
메니4	明年	1		next year
긴5니4	今年	1		year
삔아1띧1	明仔日	1		tomorrow
고	個	1		individual; classifier
짇고	一个	1		one; one item
짇고2뀋1	一個月	1		one month
능고2뀋1	兩個月	1		two months
살5고2뀋1	三個月	1		three months
귀2	鬼	1		ghost
퓌	屁	1		fart; nonsense
방2퓌	放屁	1		fart
채2치아2	菜市仔	1		market
볜서2	便所	1		toilet; lavatory; bathroom; restroom
푼1	潘	1		Pan; surname
헤4	蝦	1		shrimp
당5롕4	東寧	1		Tungning
당5롕임1	東寧音	1		Tangliengim
롕4	寧	1		peaceful; rather
꼔5	諺	1		proverb
한	漢	1		Han; Chinese
한2띠5	漢字	1		Chinese character
옝5꾸2	英語	1		language
옝5뿐4	英文	1		English; written English
뵣1댬1덩2	八點檔	1		soap opera; 8 p.m. television slot
심5졩4	心情	1		mood; feeling
카	敲	1		knock
카2뎬웨5	敲電話	1		make a telephone call
롄4	憐	1		pity; love
앙머랑4	紅毛人	1		Westerner; Caucasian
앙머웨5	紅毛話	1		English; Western language
어5아1	烏鴉	1		crow; raven
